"Year","Session Date/Time","Date/Time","Species Code","Fence Trap","CCL(mm)","PL(mm)","Mass(g)","Sex","Dead?","Comments","Recapture","Toe-clip Code","SVL(mm)","VTL(mm)","Regen Tail?","OTL(mm)","Hatchling?","Predator?","ARAN","AUCH","BLAT","CHIL","COLE","CRUS","DERM","DIEL","DIPT","HETE","HYMA","HYMB","LEPI","MANT","ORTH","PSEU","SCOR","SOLI","THYS","UNKI","MICRO","HD-body"
"2020","2020/10/30 08:35:44","2020/10/30 08:36:41","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","N/A"
"2020","2020/10/30 08:22:11","2020/10/30 08:23:37","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/30 07:52:53","2020/10/30 07:53:58","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/30 07:43:26","2020/10/30 07:43:59","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/20 08:57:59","2020/10/20 08:59:17","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","N/A"
"2020","2020/10/20 08:29:01","2020/10/20 08:41:26","ASTI","A3","N/A","N/A","9.5","F","false","puncture wound dorsal thorax, shedding","true","A5B5C5","76","185","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/20 08:29:01","2020/10/20 08:34:08","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/20 08:29:01","2020/10/20 08:33:35","ASTI","B4","N/A","N/A","6.5","F","false","N/A","false","B1","65","130","true","37","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/20 07:46:36","2020/10/20 08:02:39","ASTI","A1","N/A","N/A","11.5","F","false","N/A","false","C1","70","181","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/20 07:46:36","2020/10/20 07:58:52","ASTI","B4","N/A","N/A","13.5","M","false","N/A","false","B1C3D3","77","208","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/20 07:46:36","2020/10/20 07:47:19","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","2","0","0","0","3","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/20 07:19:16","2020/10/20 07:30:15","UTST","A4","N/A","N/A","4.5","M","false","N/A","false","A3","49","90","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/20 07:19:16","2020/10/20 07:20:43","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/19 09:28:16","2020/10/19 09:32:04","UTST","A4","N/A","N/A","4","M","false","N/A","false","A3","52","92","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/19 09:28:16","2020/10/19 09:30:03","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","2","0","0","0","0","0","8","0","0","0","0","0","0","0","1","0","0","N/A"
"2020","2020/10/19 09:09:40","2020/10/19 09:15:59","ASTI","B4","N/A","N/A","5.5","F","false","N/A","true","A5B4D1","63","126","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/19 09:09:40","2020/10/19 09:10:31","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","N/A"
"2020","2020/10/19 08:27:44","2020/10/19 08:30:16","UTST","A4","N/A","N/A","2.5","F","false","N/A","true","A1B2C3","42","63","true","60","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/19 08:27:44","2020/10/19 08:28:43","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","5","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/19 08:11:36","2020/10/19 08:14:10","N/A","C4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","3","0","0","0","0","0","5","0","0","0","0","0","0","0","10","0","0","N/A"
"2020","2020/10/19 08:11:36","2020/10/19 08:13:16","UTST","A1","N/A","N/A","2.5","F","false","N/A","true","A5B5D1","45","78","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/09 09:42:37","2020/10/09 09:48:29","ASTI","A1","N/A","N/A","7.5","M","false","N/A","true","A5B5C2","70","119","true","42","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/09 09:42:37","2020/10/09 09:42:38","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","0","0","0","0","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/09 09:06:16","2020/10/09 09:16:22","UTST","C4","N/A","N/A","2.5","M","false","N/A","true","A5B5D1","45","24","true","24","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/09 09:06:16","2020/10/09 09:07:50","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","N/A"
"2020","2020/10/09 08:29:49","2020/10/09 08:38:55","ASTI","C4","N/A","N/A","9","F","false","","true","A5B5D1","72","169","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/09 08:29:49","2020/10/09 08:31:19","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","false","1","0","0","0","7","0","0","0","0","0","48","0","0","0","0","0","2","0","0","0","0","N/A"
"2020","2020/10/09 08:04:33","2020/10/09 08:17:49","ASTI","B4","N/A","N/A","4","F","false","N/A","false","B5","55","148","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/09 08:04:33","2020/10/09 08:12:58","ASTI","B3","N/A","N/A","7","F","false","N/A","false","B4","66","165","false","N/A","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/09 08:04:33","2020/10/09 08:06:08","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","0","0","0","0","8","0","0","0","0","0","1","0","0","0","0","0","0","0","12","0","0","N/A"
"2020","2020/10/08 10:01:53","2020/10/08 10:07:49","UTST","B4","N/A","N/A","2.5","F","false","N/A","false","A2","44","71","true","54","false","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2020","2020/10/08 10:01:53","2020/10/08 10:02:44","N/A","B4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","true","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","N/A"
